Date,Year,IPO_Name,Issue_Size_Cr,Subscription_Times,Issue_Price,Listing_Open,Listing_Close,Listing_Gain_Pct,Current_Gain_Pct,Status
2015-03-19,2015,Ortel Comm,240.0,0.75,181.0,181.0,171.95,-5.0,-99.29,Loser
2014-12-19,2014,Monte Carlo,342.28,7.83,645.0,585.0,566.4,-12.19,-41.12,Loser
2014-10-01,2014,Shemaroo Ent,120.0,7.39,170.0,180.0,171.0,0.59,-25.24,Winner
2014-09-23,2014,Sharda Crop,352.0,59.97,156.0,254.1,231.45,48.37,123.01,Winner
2014-09-12,2014,Snowman Logist,197.4,59.75,47.0,75.0,78.75,67.55,7.45,Winner
2014-05-09,2014,Wonderla,181.25,38.06,125.0,164.75,157.6,26.08,95.6,Winner
2013-06-05,2013,Just Dial,950.0,11.63,530.0,590.0,611.45,15.37,81.92,Winner
2013-04-01,2013,Repco Home,270.38,1.65,172.0,159.95,160.85,-6.48,97.67,Loser
2012-12-28,2012,INDUS TOWERS,4533.6,1.21,220.0,200.0,191.2,-13.09,0.98,Loser
2012-12-27,2012,PC Jeweller,609.3,6.85,135.0,137.0,74.5,-44.81,-81.78,Loser
2012-12-26,2012,CARE Ratings,539.98,40.98,750.0,940.0,923.95,23.19,-3.8,Winner
2012-12-06,2012,Tara Jewels,0.0,1.98,230.0,242.0,229.95,-0.02,-99.67,Loser
2012-07-18,2012,VKS Projects,55.0,1.03,55.0,55.8,1.57,-97.15,-99.93,Loser
2012-05-30,2012,Speciality Rest,181.96,2.54,150.0,153.0,160.65,7.1,-50.87,Winner
2012-05-09,2012,Tribhovandas,210.0,1.15,120.0,115.0,111.2,-7.33,-29.79,Loser
2012-04-12,2012,MT Educare,99.0,4.8,80.0,86.05,90.35,12.94,-87.81,Winner
2012-04-12,2012,NBCC (India),127.2,4.93,106.0,100.0,6.47,-93.9,-51.46,Loser
2012-03-28,2012,Olympic Cards,25.0,0.99,30.0,29.95,28.5,-5.0,-90.7,Loser
2012-03-09,2012,MCX India,663.31,54.13,1032.0,1387.0,1297.05,25.68,55.0,Winner
2011-11-02,2011,Indo Thai Secu,33.6,1.16,74.0,76.0,23.0,-68.92,-4.05,Loser
2011-10-24,2011,Vaswani Ind,49.0,4.16,49.0,33.45,17.75,-63.78,-72.18,Loser
2011-10-20,2011,Ujaas Energy,93.0,1.57,186.0,180.0,31.76,-82.92,-98.39,Loser
2011-10-19,2011,Flexituff Ventu,104.63,1.03,155.0,155.0,166.4,7.35,-86.23,Winner
2011-10-19,2011,Taksheel Solut,82.5,2.99,150.0,157.4,58.15,-61.23,-97.43,Loser
2011-10-17,2011,Onelife Capital,36.85,1.51,110.0,115.0,145.9,32.64,-88.99,Winner
2011-10-04,2011,Setubandhan Inf,60.0,2.21,138.0,145.0,22.95,-83.37,-98.94,Loser
2011-09-26,2011,PG Electroplast,120.65,1.34,210.0,200.0,411.65,96.02,79.9,Winner
2011-09-16,2011,SRS,227.5,1.22,58.0,55.0,16.83,-70.98,-99.67,Loser
2011-09-08,2011,TD Power System,227.0,2.72,256.0,251.6,274.8,7.34,-24.57,Winner
2011-09-05,2011,Brooks Labs,63.0,1.6,100.0,110.0,50.2,-49.8,-11.5,Loser
2011-08-26,2011,Tree House,112.06,1.85,135.0,132.8,116.55,-13.67,-91.81,Loser
2011-08-12,2011,L&T Finance,1245.0,5.34,52.0,53.85,46.46,-10.65,69.81,Loser
2011-08-04,2011,Inventure Grow,81.9,4.58,117.0,119.0,5.2,-95.56,-96.98,Loser
2011-07-28,2011,Bharatiya Glob,55.1,2.06,82.0,84.0,30.95,-62.26,-97.83,Loser
2011-07-13,2011,Kridhan Infra,34.75,1.68,108.0,115.0,13.29,-87.69,-95.1,Loser
2011-07-07,2011,Birla Pacific,65.18,1.18,10.0,10.1,25.35,153.5,-97.2,Winner
2011-07-07,2011,Rushil Decor,40.64,2.62,72.0,81.25,104.49,45.12,302.92,Winner
2011-06-22,2011,Timbor Home,23.25,5.78,63.0,72.0,91.2,44.76,-96.49,Winner
2011-06-14,2011,VMS Industries,25.75,1.36,40.0,43.95,28.5,-28.75,-59.48,Loser
2011-05-27,2011,Dr Datson Labs,120.0,1.11,234.0,218.0,311.25,33.01,-97.31,Winner
2011-05-23,2011,Sanghvi Forging,36.9,1.3,85.0,88.0,111.75,31.47,-80.59,Winner
2011-05-13,2011,Innoventive Ind,219.58,1.24,117.0,110.0,93.6,-20.0,-96.41,Loser
2011-05-12,2011,Servalakshmi,60.0,1.47,29.0,30.0,19.0,-34.48,-95.41,Loser
2011-05-10,2011,Future Consumer,750.0,1.52,10.0,9.5,8.3,-17.0,-17.6,Loser
